data.stations.capacity,data.stations.eightd_has_key_dispenser,data.stations.electric_bike_surcharge_waiver,data.stations.external_id,data.stations.has_kiosk,data.stations.is_charging,data.stations.lat,data.stations.lon,data.stations.name,data.stations.rental_methods,data.stations.short_name,data.stations.station_id,last_updated,ttl
37,false,false,"0b1063c4-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50506300133646,-73.57068121433258,"de Maisonneuve / Aylmer (ouest)","CREDITCARD, KEY","6073","68",,
15,false,false,"0b1064d3-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.48047010732975,-73.61121609807014,"Notre-Dame-de-Grâce / Westmount","CREDITCARD, KEY","6076","69",,
23,false,false,"0b10680e-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50510814306401,-73.56708700775926,"St-Alexandre / St-Edward","CREDITCARD, KEY","6078","71",,
31,false,false,"0b106932-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.47393028235147,-73.60473453998564,"Métro Vendôme (de Marlowe / de Maisonneuve)","CREDITCARD, KEY","6080","72",,
31,false,false,"0b106b02-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49570931691902,-73.5769522190094,"Mackay / Ste-Catherine","CREDITCARD, KEY","6081","73",,
19,false,false,"0b106c33-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.54990048023633,-73.58308374881744,"5e avenue / Rosemont","CREDITCARD, KEY","6082","74",,
39,false,false,"0b106d46-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.50329524152786,-73.56848649680613,"Cathcart / Union","CREDITCARD, KEY","6083","75",,
31,false,false,"0b106e5d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.495581350533946,-73.55371087789534,"Duke / Brennan","CREDITCARD, KEY","6084","76",,
47,false,false,"0b106f9a-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49425983677146,-73.56381811201572,"Notre-Dame / Jean-d'Estrées","CREDITCARD, KEY","6085","77",,
27,false,false,"0b1070e3-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.527839413108,-73.59482109546661,"Henri-Julien / du Carmel","CREDITCARD, KEY","6089","78",,
17,false,false,"0b107204-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49487159597493,-73.57112377882004,"Métro Lucien-L'Allier  (Lucien l'Allier / Argyle)","CREDITCARD, KEY","6090","79",,
19,false,false,"0b107323-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.491686521008035,-73.57676714658737,"Joseph-Manseau / René-Lévesque","CREDITCARD, KEY","6091","80",,
27,false,false,"0b107432-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49565185546529,-73.57296109199524,"Lucien-L'Allier / René-Lévesque","CREDITCARD, KEY","6092","81",,
23,false,false,"0b10753d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.5353599615622,-73.60363483428955,"Métro Beaubien (de Chateaubriand / Beaubien)","CREDITCARD, KEY","6912","82",,
27,false,false,"0b10765d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.48947622882084,-73.58456566929817,"Métro Atwater (Atwater / Ste-Catherine)","CREDITCARD, KEY","6194","83",,
27,false,false,"0b107771-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.491800276787224,-73.58400642871855,"Chomedey / de Maisonneuve","CREDITCARD, KEY","6095","84",,
23,false,false,"0b10787d-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49356916133978,-73.56857568025589,"Lucien L'Allier / St-Jacques","CREDITCARD, KEY","6096","85",,
15,false,false,"0b107988-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.556283054184135,-73.56289476156235,"Jeanne-d'Arc / St-Joseph","CREDITCARD, KEY","6097","86",,
3,false,false,"0b1081d2-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.496583295698706,-73.5765016078949,"Bishop / Ste-Catherine","CREDITCARD, KEY","6098","87",,
23,false,false,"0b10834a-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.515103391493575,-73.55930088093373,"Ste-Catherine / Labelle","CREDITCARD, KEY","6099","88",,
31,false,false,"0b108464-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.49682986230046,-73.57913017272949,"Mackay / de Maisonneuve","CREDITCARD, KEY","6100","89",,
15,false,false,"0b108588-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.4789683985657,-73.61959934234618,"Métro Villa-Maria (de Monkland / Décarie)","CREDITCARD, KEY","6101","90",,
15,false,false,"0b1086a7-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.493034,-73.583836,"Lincoln / du Fort","CREDITCARD, KEY","6102","91",,
27,false,false,"0b1087c4-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.53881453102766,-73.55267778049893,"Lespérance / de Rouen","CREDITCARD, KEY","6103","92",,
31,false,false,"0b1088f0-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.51681750463149,-73.5541883111,"Wolfe / René-Lévesque","CREDITCARD, KEY","6104","93",,
19,false,false,"0b108a09-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.51937252291976,-73.55195805430411,"Plessis / René-Lévesque","CREDITCARD, KEY","6105","94",,
25,false,false,"0b108b24-08f3-11e7-a1cb-3863bb33a4e4",true,false,45.52114,-73.54926,"Papineau / René-Lévesque","CREDITCARD, KEY","6106","95",,
